            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
      0.00013335          583526          911346     3.22828e-13         482.671        -321.956    -2.03869e-06    -1.82205e+06     1.16802e+06         -562726        0.192403         3.17588
       0.0002667         -178636         -291138    -1.05615e-13         294.202        -164.808    -1.28677e-06          582606         -356683          167029        0.229315         2.35679
      0.00040005        -11647.1        -25890.4    -1.86526e-14         230.131        -120.968    -5.26686e-07         52022.7        -22834.1         6685.63        0.148489         2.59204
       0.0005334         5480.25         1968.97    -1.53302e-14          194.27        -99.4136    -3.80157e-08        -3739.02           11349        -10622.3        0.347871         3.16244
      0.00066675         7392.67         5212.31    -1.79165e-14          170.14        -85.7731    -9.88671e-09        -10253.1         15125.6        -12732.4       0.0592373         3.01241
       0.0008001         8240.03         6702.09     -2.1371e-14         152.336         -76.193    -8.37703e-08        -13251.8         16784.7        -13901.9        0.206843         2.52361
      0.00093345         8815.76          7721.3     -2.5014e-14         138.686        -68.9615     -6.6513e-08        -15304.7         17908.9        -14751.3       0.0351872          2.4772
       0.0010668         9194.75          8400.6    -2.82018e-14         127.971        -63.2286    -4.13459e-08        -16674.7         18645.4        -15322.4        0.141765         2.88324
      0.00120015          9427.7          8830.2    -3.07981e-14         119.207        -58.5673    -2.52892e-08        -17543.3         19093.8        -15668.3       0.0292831         3.18938
       0.0013335         9586.43         9142.36     -3.2734e-14         111.646        -54.7304    -6.77896e-08        -18175.3         19396.1        -15897.4       0.0337792         3.26079
      0.00146685         9672.04         9346.78    -3.39236e-14         105.058        -51.5082    -6.84052e-08        -18590.5         19554.2        -16014.3       0.0149695         3.10328
       0.0016002         9672.77          9427.4    -3.43786e-14         99.3363        -48.7273    -7.84684e-08        -18757.4         19544.2        -16002.7       0.0315387         2.97666
      0.00173355         9623.52         9444.38    -3.42186e-14         94.3005         -46.285    -9.86874e-08        -18796.2         19435.6        -15913.3       0.0778653         2.88647
       0.0018669         9560.28         9455.97    -3.35926e-14         89.8161        -44.1161    -1.21616e-07        -18823.8         19300.2        -15800.2       0.0353981           2.796
      0.00200025         9500.63          9488.4    -3.26952e-14          85.792        -42.1722     -1.6584e-07        -18892.5         19172.9        -15692.9        0.048581         2.70252
       0.0021336         9462.04         9569.41    -3.16926e-14         82.1647        -40.4146    -2.15356e-07          -19058         19088.4        -15617.6       0.0225844         2.60821
      0.00226695         9458.55         9717.74    -3.07374e-14         78.8959        -38.8097    -2.77627e-07        -19357.9         19074.9        -15597.5       0.0442648         2.51641
       0.0024003         9485.01         9919.29    -2.98756e-14         75.9708        -37.3285    -3.53993e-07          -19764           19122        -15623.5        0.127614         2.42897
      0.00253365         9537.09           10162    -2.91453e-14         73.3896        -35.9475     -4.5124e-07        -20252.3           19221        -15688.7        0.152747         2.34743
        0.002667         9593.63         10408.7     -2.8494e-14         71.1505        -34.6544    -5.54157e-07        -20748.2         19329.6        -15759.8       0.0556284         2.27138
      0.00280035         9646.64         10647.9    -2.79195e-14         69.2449        -33.4488    -6.66276e-07        -21229.1         19431.8        -15826.6       0.0691261         2.19991
