            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
      0.00013335          373174          595685    -1.39728e-12         516.526        -180.714     2.41224e-07    -1.19101e+06          747381          345174        0.152416         3.16735
       0.0002667         -111707         -174542     3.73805e-13         322.222        -100.526    -3.55256e-06          349285         -222770         -104745        0.077938         2.47951
      0.00040005        -10786.7        -11494.3     4.81443e-14         253.958        -76.0698     1.16604e-06         23141.2        -21065.7        -10310.7        0.243019         2.44774
       0.0005334         493.278         7817.69      8.3345e-15         214.795        -63.3387     2.54553e-08          -15509         1416.27         1172.41       0.0395773         2.40735
      0.00066675          1879.6         10494.2     3.39784e-15         188.652        -55.1005      1.3037e-07        -20878.2         4136.51         2813.95       0.0153906         2.34509
       0.0008001         2289.76         11623.7     2.00658e-15          169.58        -49.2141     1.44754e-07        -23148.9         4918.67         3589.89        0.114458         2.26517
      0.00093345         2552.57         12475.4      1.1086e-15          154.87         -44.742     1.29008e-07        -24861.3         5414.87         4186.29        0.116525         2.18157
       0.0010668          2769.4         13237.8     2.44696e-16         143.079        -41.1933     1.46928e-07        -26393.3         5824.95         4711.65         0.15553         2.10475
      0.00120015         2959.24         13949.3    -6.13147e-16         133.357        -38.2845     1.89152e-07        -27822.1         6185.21         5191.14       0.0438187         2.03896
       0.0013335         3113.78           14586    -1.40639e-15         125.158        -35.8414       2.636e-07        -29100.2         6477.87         5605.91         0.15096         1.98451
      0.00146685         3228.37         15129.6    -2.10598e-15         118.117        -33.7501      4.3191e-07        -30191.8         6692.98         5942.43        0.213333         1.94051
       0.0016002         3311.59         15586.3    -2.71111e-15         111.982        -31.9316     6.71045e-07        -31108.8         6847.13         6207.89        0.196559         1.90518
      0.00173355         3369.23         15960.1    -3.20302e-15         106.571        -30.3288     9.69902e-07        -31859.6         6951.62          6408.1        0.124332         1.87677
       0.0018669         3403.96           16255    -3.56452e-15         101.753        -28.9006      1.3494e-06        -32452.1         7011.42         6548.03       0.0788946         1.85159
      0.00200025         3417.39         16477.8    -3.79028e-15         97.4275        -27.6168     1.82492e-06        -32900.3         7029.63         6634.04        0.072408          1.8282
       0.0021336         3411.62         16636.4     -3.8855e-15         93.5185        -26.4544     2.39377e-06        -33219.8         7010.26         6673.62        0.108731         1.80638
      0.00226695         3390.65         16741.2    -3.86372e-15         89.9703        -25.3954     3.03663e-06        -33431.6         6961.24         6675.74        0.083576         1.78688
       0.0024003         3357.66         16803.1    -3.74721e-15         86.7419        -24.4257     3.74963e-06        -33557.3         6888.82         6649.73       0.0549241         1.77102
      0.00253365         3317.73         16837.7    -3.56743e-15         83.8053        -23.5342     4.47715e-06        -33628.3         6803.06         6607.48       0.0625036         1.75994
        0.002667         3275.14         16857.6    -3.35381e-15         81.1465        -22.7109     5.21172e-06        -33669.8         6712.58         6558.32       0.0792887         1.75408
      0.00280035         3233.07         16872.6    -3.12928e-15         78.7701        -21.9473     5.93489e-06        -33701.3         6623.69         6509.14       0.0548113          1.7526
       0.0029337         3193.18         16887.6    -2.90711e-15         76.7017        -21.2357     6.63708e-06        -33732.7         6539.76         6463.38         0.11404         1.75414
      0.00306705         3157.61         16909.4    -2.69838e-15         74.9904        -20.5694     7.29833e-06        -33777.6         6465.21         6425.67        0.116296         1.75705
       0.0032004         3127.46         16940.3     -2.5087e-15         73.6959        -19.9442     7.94277e-06        -33840.7         6402.33         6397.44        0.163602         1.76015
      0.00333375         3102.35         16980.8    -2.33999e-15         72.8616        -19.3613      8.5448e-06        -33922.8         6350.43         6378.64        0.100212         1.76258
       0.0034671         3082.28         17031.8    -2.19295e-15         72.4983        -18.8288     9.12174e-06        -34025.9         6309.57         6369.49       0.0775366         1.76388
      0.00360045         3067.31         17093.5     -2.0659e-15         72.5823        -18.3587     9.65619e-06        -34150.3         6279.78         6370.02         0.14679         1.76391
       0.0037338         3057.48         17166.6    -1.95936e-15           73.06        -17.9626     1.01622e-05        -34297.3          6261.1         6380.36        0.191203         1.76257
      0.00386715         3052.97         17250.8    -1.87177e-15         73.8574         -17.647     1.06421e-05        -34466.4         6253.65         6400.21        0.177769         1.75992
       0.0040005         3053.76         17345.6    -1.80237e-15         74.8923        -17.4125     1.11078e-05        -34656.5         6257.31         6429.05        0.150124         1.75611
      0.00413385          3059.1         17449.2       -1.75e-15         76.0884         -17.255     1.15523e-05        -34863.9         6270.39         6465.42        0.130323         1.75133
       0.0042672          3067.6         17558.4     -1.7089e-15         77.3848        -17.1689     1.19807e-05        -35082.5         6289.98         6506.88        0.124253          1.7457
      0.00440055         3077.66         17669.2    -1.67512e-15          78.739        -17.1485      1.2382e-05        -35304.1         6312.81         6550.24       0.0726007         1.73959
       0.0045339          3087.8         17778.9    -1.64514e-15         80.1225        -17.1887     1.27659e-05        -35523.5         6335.87          6593.1       0.0570449         1.73339
      0.00466725         3096.29         17883.4    -1.61499e-15         81.5166        -17.2841     1.31144e-05        -35732.3         6355.62         6632.21        0.109716          1.7274
       0.0048006         3102.62         17981.8     -1.5851e-15          82.907        -17.4283     1.34355e-05        -35928.8         6371.06         6666.61        0.141002         1.72181
      0.00493395         3105.54           18072    -1.55156e-15         84.2814        -17.6133     1.37442e-05        -36108.7         6379.63         6694.56        0.167813         1.71676
       0.0050673         3105.24         18153.4    -1.51602e-15         85.6271        -17.8297      1.4017e-05        -36271.2         6381.73         6715.93        0.162686         1.71221
      0.00520065         3102.12         18227.9    -1.47854e-15         86.9317        -18.0676     1.42757e-05        -36419.8         6378.09         6731.87        0.135744         1.70805
        0.005334          3096.8         18295.9    -1.43791e-15          88.184        -18.3173     1.45186e-05        -36555.1         6369.96         6742.93        0.103025         1.70418
      0.00546735         3089.69         18358.2    -1.39438e-15         89.3742        -18.5699     1.47268e-05        -36679.3         6358.13         6750.04       0.0554499         1.70035
       0.0056007         3081.67         18416.1    -1.34783e-15         90.4966        -18.8187     1.49292e-05        -36794.6         6344.33         6754.25       0.0445638         1.69657
      0.00573405         3073.07         18471.2    -1.29699e-15         91.5479        -19.0588      1.5102e-05        -36904.2         6329.23         6756.78       0.0825944         1.69264
       0.0058674         3064.24         18523.5    -1.24324e-15         92.5279         -19.287     1.52475e-05        -37008.4         6313.53         6757.99       0.0954819         1.68852
      0.00600075         3055.71         18575.4    -1.18661e-15          93.438         -19.501     1.53704e-05        -37111.8         6298.29         6759.46       0.0987254         1.68421
       0.0061341          3047.6         18626.2    -1.12783e-15         94.2812        -19.6997     1.54653e-05          -37213         6283.76         6761.02       0.0655461         1.67973
      0.00626745         3040.31         18677.8    -1.06855e-15         95.0611        -19.8827     1.55353e-05        -37315.9         6270.75         6763.92      0.00355863         1.67505
       0.0064008         3034.34         18731.9    -1.01181e-15         95.7813        -20.0498     1.55834e-05        -37423.7         6260.24          6769.2       0.0303294         1.67019
      0.00653415         3029.25         18786.7    -9.57289e-16         96.4461        -20.2014     1.56209e-05        -37532.9          6251.4         6775.91       0.0475118         1.66518
       0.0066675         3025.24         18843.5    -9.06903e-16         97.0592        -20.3381      1.5628e-05        -37646.2          6244.6         6784.72       0.0798929         1.66006
      0.00680085         3022.47         18903.2    -8.61685e-16         97.6246        -20.4604     1.56254e-05        -37765.5         6240.19         6796.17       0.0115766         1.65487
       0.0069342         3020.77         18964.7    -8.21855e-16         98.1455        -20.5691     1.56063e-05        -37888.2         6237.82         6809.39       0.0710386         1.64964
      0.00706755         3019.31         19026.4    -7.83693e-16         98.6253         -20.665     1.55732e-05        -38011.5         6235.87         6823.33        0.104279         1.64442
       0.0072009         3018.31         19089.3    -7.49003e-16         99.0668         -20.749      1.5527e-05          -38137         6234.75         6838.27        0.128641         1.63925
      0.00733425         3017.66         19152.9    -7.18532e-16         99.4727        -20.8217     1.54693e-05        -38264.2         6234.26         6853.95        0.121017         1.63418
       0.0074676         3016.82         19215.6    -6.89606e-16         99.8456         -20.884      1.5403e-05        -38389.5         6233.34          6869.2       0.0944039         1.62924
      0.00760095         3015.32         19276.5    -6.59571e-16         100.188        -20.9366     1.53289e-05        -38511.2         6231.02         6883.25       0.0574114         1.62447
       0.0077343         3013.31         19336.3    -6.28546e-16         100.501          -20.98     1.52475e-05        -38630.6         6227.62         6896.46       0.0464372         1.61991
      0.00786765         3010.83         19394.6    -5.96335e-16         100.788         -21.015      1.5159e-05        -38747.2         6223.23         6908.67       0.0865782         1.61555
        0.008001         3007.67         19450.7    -5.62432e-16          101.05        -21.0419     1.50636e-05        -38859.3         6217.45         6919.35       0.0615599         1.61137
      0.00813435         3003.47         19503.9    -5.25067e-16         101.289        -21.0615      1.4961e-05        -38965.7         6209.52         6928.04       0.0179463         1.60736
       0.0082677         2998.53         19555.2    -4.86979e-16         101.507         -21.074      1.4859e-05        -39068.2         6200.06         6935.34       0.0708217         1.60351
      0.00840105         2992.97         19604.5    -4.50124e-16         101.705        -21.0801     1.47517e-05        -39166.8         6189.34         6941.37       0.0407087         1.59979
       0.0085344         2987.18         19652.6    -4.16387e-16         101.884        -21.0801     1.46414e-05          -39263         6178.13         6946.67       0.0493722         1.59615
      0.00866775         2980.92         19698.9    -3.83877e-16         102.046        -21.0744     1.45369e-05        -39355.6         6165.94         6950.93       0.0807431         1.59256
       0.0088011         2974.31         19743.9    -3.51937e-16         102.192        -21.0633      1.4423e-05        -39445.7         6153.01         6954.54        0.102948         1.58897
      0.00893445         2967.62         19788.5    -3.19586e-16         102.323        -21.0471      1.4314e-05        -39534.9         6139.89         6958.03        0.121145         1.58537
       0.0090678         2960.96         19832.8    -2.86464e-16         102.441         -21.026     1.42011e-05        -39623.5          6126.8         6961.59         0.13695         1.58173
      0.00920115         2954.63         19877.3    -2.53503e-16         102.545        -21.0003     1.40909e-05        -39712.6         6114.36         6965.71        0.151125         1.58552
       0.0093345         2948.68         19922.1    -2.20257e-16         102.637        -20.9702     1.39821e-05        -39802.2         6102.64         6970.36        0.164099         1.59165
      0.00946785         2942.91         19967.1    -1.86781e-16         102.718         -20.936     1.38748e-05        -39892.4         6091.25          6975.6        0.176143         1.59768
       0.0096012         2937.71         20013.3    -1.53933e-16         102.788        -20.8978     1.37712e-05        -39984.7         6080.99         6981.93        0.187442         1.60364
      0.00973455         2932.95         20060.4    -1.22646e-16         102.849         -20.856     1.36683e-05          -40079         6071.59         6989.27        0.198127         1.60951
       0.0098679         2928.74         20108.5    -9.34225e-17         102.901        -20.8105     1.35696e-05        -40175.4         6063.27         6997.69        0.208293         1.61529
       0.0100013         2925.13         20157.7    -6.66535e-17         102.944        -20.7618     1.34689e-05          -40274         6056.15          7007.2        0.218016         1.62099
       0.0101346         2922.01         20207.7    -4.20156e-17         102.979        -20.7099      1.3376e-05        -40374.1         6049.97          7017.6        0.227352          1.6266
        0.010268          2919.3         20258.6    -1.88264e-17         103.007        -20.6551      1.3285e-05        -40475.9          6044.6         7028.87        0.236348         1.63213
       0.0104013         2916.87         20310.1     3.02293e-18         103.028        -20.5976     1.31998e-05          -40579          6039.8         7040.78        0.245042         1.63757
       0.0105347         2914.66           20362     2.34075e-17         103.043        -20.5374     1.31229e-05          -40683          6035.4          7053.2        0.253465         1.64292
        0.010668         2912.71         20414.3     4.19195e-17         103.052        -20.4748       1.305e-05        -40787.7         6031.52         7066.06        0.261643         1.64819
       0.0108014         2910.88         20466.7     5.83715e-17         103.055          -20.41     1.29842e-05        -40892.6         6027.87         7079.11         0.26409         1.65338
       0.0109347         2909.06         20518.7     7.32745e-17         103.053        -20.3431     1.29269e-05        -40996.8         6024.22         7092.09        0.259298         1.65848
       0.0110681         2907.16         20570.3     8.68052e-17         103.047        -20.2742     1.28755e-05        -41100.1         6020.41         7104.89        0.254778          1.6635
       0.0112014          2905.1         20621.3     9.95817e-17         103.035        -20.2035     1.28344e-05        -41202.3         6016.27         7117.33        0.250569         1.66844
       0.0113348          2902.8         20671.7     1.11841e-16          103.02        -20.1311     1.28008e-05          -41303         6011.64         7129.38        0.242119          1.6733
       0.0114681         2900.28         20721.2     1.23821e-16             103        -20.0572     1.27798e-05        -41402.3         6006.55         7140.94        0.232981         1.67808
       0.0116015         2897.56         20769.9     1.35311e-16         102.977        -19.9817     1.27674e-05        -41499.9         6001.07         7152.02        0.223596         1.68278
       0.0117348         2894.55         20817.6     1.46497e-16         102.951         -19.905      1.2768e-05        -41595.4            5995         7162.45        0.213933          1.6874
       0.0118682         2891.44         20864.6     1.57759e-16         102.921        -19.8269     1.27781e-05        -41689.6         5988.73          7172.5        0.203955         1.69195
       0.0120015         2887.98         20910.4     1.69422e-16         102.888        -19.7476     1.28004e-05        -41781.2         5981.74         7181.79        0.193612         1.69642
       0.0121349         2884.33         20955.4     1.82165e-16         102.852        -19.6672     1.28322e-05        -41871.4         5974.37         7190.65        0.182837         1.70082
       0.0122682         2880.48         20999.6      1.9605e-16         102.813        -19.5857     1.28788e-05          -41960         5966.58         7199.07        0.171545         1.70514
       0.0124016         2876.46         21043.2     2.10919e-16         102.773        -19.5032     1.29315e-05        -42047.4         5958.46         7207.13        0.159618         1.70939
       0.0125349          2872.3         21086.1     2.25958e-16         102.729        -19.4197     1.29969e-05        -42133.3         5950.07         7214.88        0.146898         1.71357
       0.0126683         2868.15         21128.7     2.41276e-16         102.684        -19.3353     1.30713e-05        -42218.7         5941.66         7222.55        0.133149         1.71769
